adapter,confidence,defect_id,design,false_positive_cluster,item_id,kind,material,model,packet,provider_index,rater,repeat,set_id,wrapper
pi,high,KR-01,provider_pair,,i-1a667a6870771fd1,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,3,s-291b2c970d416056,functional
pi,high,RD-05,provider_pair,,i-1bd3a5c059ec808e,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,5,s-6b4673285a6b3e32,functional
pi,high,WH-07,provider_pair,,i-1bff608c5fff7d9a,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,0,s-e52ce54ee91d4c6f,fictional
pi,high,KR-05,provider_pair,,i-1c2776dbabd91b04,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,2,s-22cdf15128db9ff6,fictional
pi,high,WH-08,provider_pair,,i-1c52180082e5dd1c,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,1,s-099364b668aa19e8,functional
pi,high,RD-02,provider_pair,,i-1cda592ed647b554,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,0,s-fd3bb9d498a9d37e,functional
pi,high,WH-06,provider_pair,,i-1ee6272cccfc361a,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,4,s-751fe8be8f2ac5f2,fictional
pi,high,RD-02,provider_pair,,i-205aa9144303fe4b,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,3,s-00f99471917e1a1b,fictional
pi,high,KR-06,provider_pair,,i-2108374412d9c1e0,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,0,s-4ce79d43c271a90c,fictional
pi,high,WH-08,provider_pair,,i-22a49413f92e092d,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,1,s-0aceaf5fc3048ae3,fictional
pi,high,RD-03,provider_pair,,i-23a800182aa41e94,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,4,s-d79542b71c32a2a4,fictional
pi,high,RD-01,provider_pair,,i-2487c7c3aba4bb74,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,8,s-1820a949f9687dca,fictional
pi,high,WH-01,provider_pair,,i-25042f34c7b73e72,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,9,s-a89bdfa82735cd5e,fictional
pi,high,WH-08,provider_pair,,i-268a9201f0d73242,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,2,s-a01b1559383fe9a6,functional
pi,high,RD-01,provider_pair,,i-273e4b3df469ba1d,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,5,s-6b4673285a6b3e32,functional
pi,high,KR-05,provider_pair,,i-277ccea2b68336f6,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,6,s-a54de9b679dfe0a0,functional
pi,high,WH-06,provider_pair,,i-279e462924694c58,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,2,s-ac469279418ab638,fictional
pi,high,WH-05,provider_pair,,i-29349d2020cbcab4,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,9,s-a89bdfa82735cd5e,fictional
pi,high,WH-03,provider_pair,,i-2ad846385b3ec74b,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,2,s-a01b1559383fe9a6,functional
pi,high,WH-03,provider_pair,,i-2c7a599ff20ff852,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,9,s-2d0552a79be3e623,functional
pi,high,WH-02,provider_pair,,i-2cb02c860fdd5da1,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,9,s-2d0552a79be3e623,functional
pi,high,KR-05,provider_pair,,i-2d0b27a3e97f71a4,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,9,s-01e3580d9d8ad158,fictional
pi,high,RD-01,provider_pair,,i-2d12f1315cfda584,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,4,s-d79542b71c32a2a4,fictional
pi,high,WH-08,provider_pair,,i-2e745fb259f5b3f1,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,9,s-a89bdfa82735cd5e,fictional
pi,high,WH-05,provider_pair,,i-2eda87cef029cde3,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,3,s-cd000c1638df598e,fictional
pi,high,RD-01,provider_pair,,i-2f1ea47e1304c1b9,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,1,s-74f5e4863e9d7052,functional
pi,high,WH-07,provider_pair,,i-300304ff9c791048,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,5,s-3d1e7f1df4e54a59,fictional
pi,high,WH-08,provider_pair,,i-3055e4d967362ce0,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,6,s-0fd5214ce3f4596e,fictional
pi,high,RD-05,provider_pair,,i-3064f37d22a7a25c,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,5,s-a817f3667f39e90f,fictional
pi,high,KR-02,provider_pair,,i-3065b2a168eabceb,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,0,s-565855c2fb23d0b9,functional
pi,high,KR-02,provider_pair,,i-317367054e73249f,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,2,s-b2a190e8ee1363c7,functional
pi,high,RD-05,provider_pair,,i-31d7a9da85901048,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,0,s-281980c09016b067,fictional
pi,high,KR-01,provider_pair,,i-3208f0cd06f87af1,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,7,s-3f0eff7649e86d06,fictional
pi,high,KR-05,provider_pair,,i-32d77071599a7c60,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,7,s-3f0eff7649e86d06,fictional
pi,high,KR-02,provider_pair,,i-330df681d024e119,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,5,s-693e7723578762f7,functional
pi,high,WH-06,provider_pair,,i-3352c3677afb859a,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,4,s-89462d80ba90c99a,functional
pi,high,WH-05,provider_pair,,i-339f1bf70ae47dda,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,1,s-099364b668aa19e8,functional
pi,high,KR-04,provider_pair,,i-3458563b9e1a2503,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,5,s-693e7723578762f7,functional
pi,high,RD-03,provider_pair,,i-351f6550553aa1fa,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,1,s-74f5e4863e9d7052,functional
pi,high,WH-03,provider_pair,,i-3539d1c5b66a7b56,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,4,s-751fe8be8f2ac5f2,fictional
pi,high,KR-02,provider_pair,,i-361f155590a33ba8,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,6,s-a54de9b679dfe0a0,functional
pi,high,WH-02,provider_pair,,i-365fbd814caf4d81,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,6,s-0fd5214ce3f4596e,fictional
pi,high,RD-07,provider_pair,,i-387045bf3784b304,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,3,s-00f99471917e1a1b,fictional
pi,high,KR-01,provider_pair,,i-38e440fe7274318c,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,4,s-0a73ddaf70a13704,fictional
pi,high,RD-03,provider_pair,,i-38fbc29cbeed1031,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,9,s-92b12c7d7f604117,fictional
pi,high,NONE,provider_pair,superset_bypass_cube_contract,i-3929b5ffde37b326,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,4,s-d79542b71c32a2a4,fictional
pi,high,KR-05,provider_pair,,i-39d05037747744e7,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,4,s-41e4be840319aa24,functional
pi,high,WH-03,provider_pair,,i-39f272df9d1bb296,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,1,s-099364b668aa19e8,functional
pi,high,WH-06,provider_pair,,i-3a80d696917b084b,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,2,s-a01b1559383fe9a6,functional
pi,high,WH-01,provider_pair,,i-3b15388bac7bf228,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,5,s-3d1e7f1df4e54a59,fictional
pi,high,KR-05,provider_pair,,i-3b91ef6a9a4b1be9,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,1,s-b914e8cd3206f95a,fictional
pi,high,KR-02,provider_pair,,i-3c515b0fc2873fb6,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,7,s-3f0eff7649e86d06,fictional
pi,high,RD-01,provider_pair,,i-3ca994d287f5e06a,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,2,s-1c256722ac9cf6ea,fictional
pi,high,WH-02,provider_pair,,i-3d14bd1c35b9aa34,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,0,s-e569287fc546ab8c,functional
pi,high,KR-02,provider_pair,,i-3d55d6d1d8386170,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,8,s-6d0a35d56b6732f0,functional
pi,high,KR-05,provider_pair,,i-3e6a79e1d8383bae,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,8,s-6d0a35d56b6732f0,functional
pi,high,RD-01,provider_pair,,i-3e8f7b39ecf48e09,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,6,s-ed78305b1beffd2f,fictional
pi,high,WH-01,provider_pair,,i-3e9fc20c13e1b819,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,6,s-c9aad528db68af01,functional
pi,high,WH-01,provider_pair,,i-3fda8a8bfdf5eb61,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,2,s-a01b1559383fe9a6,functional
pi,high,RD-02,provider_pair,,i-4119aa15d085ce89,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,4,s-81cad27570642bba,functional
pi,high,WH-06,provider_pair,,i-41a31e0a965036ea,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,9,s-2d0552a79be3e623,functional
pi,high,KR-02,provider_pair,,i-41cea89b6f3d1cf1,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,0,s-4ce79d43c271a90c,fictional
pi,high,WH-03,provider_pair,,i-41d31b9ab0665cb8,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,0,s-e52ce54ee91d4c6f,fictional
pi,high,RD-02,provider_pair,,i-4350fa595f1caf24,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,5,s-a817f3667f39e90f,fictional
pi,high,KR-04,provider_pair,,i-43a51f21b56c2bc8,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,7,s-dca19091497f93f8,functional
pi,high,WH-03,provider_pair,,i-43abcd1d7cda7d37,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,3,s-cd000c1638df598e,fictional
pi,high,RD-05,provider_pair,,i-44c69830cb8912f0,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,2,s-1c256722ac9cf6ea,fictional
pi,high,RD-01,provider_pair,,i-44d9f2fdbe27144c,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,9,s-98da8acd79192486,functional
pi,high,KR-04,provider_pair,,i-4511d4a081c87416,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,6,s-32f78d792a1549d8,fictional
pi,high,NONE,provider_pair,double_aggregation_of_summed_column,i-458a58e3d5f0422a,final,False,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,0,s-281980c09016b067,fictional
pi,high,WH-01,provider_pair,,i-45d5bacbd86d3694,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,3,s-3043858fee15402b,functional
pi,high,WH-03,provider_pair,,i-46486024070531cb,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,2,s-ac469279418ab638,fictional
pi,high,WH-08,provider_pair,,i-4a8c9d6e6a4a3a33,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,5,s-3d1e7f1df4e54a59,fictional
pi,high,WH-05,provider_pair,,i-4b2c4a6d0a28b5a8,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,4,s-89462d80ba90c99a,functional
pi,high,WH-08,provider_pair,,i-4b3fcd82353790a7,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,5,s-cf425b36dfc6b2fb,functional
pi,high,KR-04,provider_pair,,i-4fb8520189f7f967,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,8,s-6d0a35d56b6732f0,functional
pi,high,WH-07,provider_pair,,i-5063bf685882e3e7,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,9,s-2d0552a79be3e623,functional
pi,high,RD-01,provider_pair,,i-506eca6e366568d2,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,7,s-1793a185e18d4f8c,functional
pi,high,RD-03,provider_pair,,i-507a21d0737b99cd,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,9,s-98da8acd79192486,functional
pi,high,WH-02,provider_pair,,i-507a8550688dac19,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,4,s-751fe8be8f2ac5f2,fictional
pi,high,RD-01,provider_pair,,i-50b3d3a1394e6ba0,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,6,s-6fa072e14cf8c2b9,functional
pi,high,KR-05,provider_pair,,i-546e3bfd4b717b70,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,4,s-0a73ddaf70a13704,fictional
pi,high,RD-01,provider_pair,,i-55292ba53c3d1cd2,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,8,s-8d2cd2c9cf219b27,functional
pi,high,WH-07,provider_pair,,i-55efb67d08d42da9,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,2,s-a01b1559383fe9a6,functional
pi,high,WH-05,provider_pair,,i-5745bb9c7de84843,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,7,s-126f402871103a57,fictional
pi,high,KR-02,provider_pair,,i-57a889c5e639ac1d,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,9,s-01e3580d9d8ad158,fictional
pi,high,KR-04,provider_pair,,i-583c88e87a8c72cf,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,0,s-565855c2fb23d0b9,functional
pi,high,WH-06,provider_pair,,i-5846212d49b95d41,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,8,s-c83372d05ce57c90,fictional
pi,high,WH-06,provider_pair,,i-58a77a6dea9fb0e6,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,9,s-a89bdfa82735cd5e,fictional
pi,high,WH-07,provider_pair,,i-58d6bd1e874e7f52,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,8,s-6d4b2f85c131674e,functional
pi,high,WH-08,provider_pair,,i-58e22d24f61503db,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,9,s-2d0552a79be3e623,functional
pi,high,KR-04,provider_pair,,i-58fdd8f20f317f35,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,3,s-291b2c970d416056,functional
pi,high,WH-08,provider_pair,,i-593348c5ccc46cc2,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,0,s-e569287fc546ab8c,functional
pi,high,KR-01,provider_pair,,i-5afb616dcd0d76a1,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,9,s-01e3580d9d8ad158,fictional
pi,high,WH-03,provider_pair,,i-5bd2efbff6bada65,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,3,s-3043858fee15402b,functional
pi,high,RD-02,provider_pair,,i-5c0f19b0ed269d76,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,3,s-8b6c1dbf6cc81f60,functional
pi,high,WH-02,provider_pair,,i-5c2c4103b301d719,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,5,s-3d1e7f1df4e54a59,fictional
pi,high,KR-01,provider_pair,,i-5e1721817bffdf77,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,9,s-648904e78830f6fb,functional
pi,high,WH-07,provider_pair,,i-5e6bc9f9bb1d8810,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,4,s-751fe8be8f2ac5f2,fictional
pi,high,WH-02,provider_pair,,i-5ee0adedc3fc15da,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,3,s-3043858fee15402b,functional
pi,high,RD-01,provider_pair,,i-5f24c3ca517ef8b6,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,2,s-ef7b0d309515cc99,functional
pi,high,RD-02,provider_pair,,i-601a79abb413dbe0,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,2,s-1c256722ac9cf6ea,fictional
pi,high,KR-02,provider_pair,,i-604b28a7b4d658a1,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,8,s-ef606d9696f4b878,fictional
pi,high,RD-01,provider_pair,,i-61452ac385104e0a,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,0,s-fd3bb9d498a9d37e,functional
pi,high,KR-05,provider_pair,,i-61c085b894260b98,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,0,s-565855c2fb23d0b9,functional
pi,high,KR-01,provider_pair,,i-62cbf1fa3f58abde,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,8,s-ef606d9696f4b878,fictional
pi,high,WH-01,provider_pair,,i-640239223a10272c,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,8,s-c83372d05ce57c90,fictional
pi,high,WH-03,provider_pair,,i-64753d1a53c402c4,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,0,s-e569287fc546ab8c,functional
pi,high,KR-05,provider_pair,,i-6527b0e7b7152171,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,0,s-4ce79d43c271a90c,fictional
pi,high,WH-05,provider_pair,,i-66f9a61d218aa002,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,2,s-a01b1559383fe9a6,functional
pi,high,WH-06,provider_pair,,i-688b0d69382800ea,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,7,s-126f402871103a57,fictional
pi,high,KR-02,provider_pair,,i-68f2415f62385cbb,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,4,s-41e4be840319aa24,functional
pi,high,NONE,provider_pair,bypass_cube_contract,i-6ba83795a26de745,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,9,s-98da8acd79192486,functional
pi,high,KR-02,provider_pair,,i-6bc42991ac295354,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,9,s-648904e78830f6fb,functional
pi,high,KR-04,provider_pair,,i-6cfdec50eb88e1a4,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,8,s-ef606d9696f4b878,fictional
pi,high,KR-04,provider_pair,,i-6d1bf616bd61592d,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,1,s-2d15d8e594276654,functional
pi,high,RD-02,provider_pair,,i-6d49400ef2b4685d,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,7,s-1793a185e18d4f8c,functional
pi,high,WH-02,provider_pair,,i-6d8902087422e27d,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,5,s-cf425b36dfc6b2fb,functional
pi,high,KR-01,provider_pair,,i-6f315d82380c2516,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,3,s-206cc60afe410561,fictional
pi,high,WH-02,provider_pair,,i-6fec847827bdebf8,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,0,s-e52ce54ee91d4c6f,fictional
pi,high,WH-06,provider_pair,,i-70bd447326ec85c1,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,3,s-3043858fee15402b,functional
pi,high,RD-07,provider_pair,,i-7176939bd52cb55f,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,3,s-8b6c1dbf6cc81f60,functional
pi,high,RD-01,provider_pair,,i-720b21d26a178636,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,0,s-281980c09016b067,fictional
pi,high,WH-03,provider_pair,,i-721321bd476bbd44,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,9,s-a89bdfa82735cd5e,fictional
pi,high,WH-08,provider_pair,,i-72c1a53b89538ebb,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,4,s-89462d80ba90c99a,functional
pi,high,KR-01,provider_pair,,i-730a30e67a419b6e,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,1,s-2d15d8e594276654,functional
pi,high,RD-02,provider_pair,,i-7459e2f254fff1e5,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,0,s-281980c09016b067,fictional
pi,high,KR-04,provider_pair,,i-789458c0dc3ae114,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,0,s-4ce79d43c271a90c,fictional
pi,high,WH-03,provider_pair,,i-78da5b794cf01509,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,4,s-89462d80ba90c99a,functional
pi,high,WH-06,provider_pair,,i-79a896b17d78e3e1,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,3,s-cd000c1638df598e,fictional
pi,high,KR-05,provider_pair,,i-79c1b24759c42c01,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,3,s-291b2c970d416056,functional
pi,high,KR-02,provider_pair,,i-7a0b0af8e4e1cd61,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,3,s-206cc60afe410561,fictional
pi,high,WH-05,provider_pair,,i-7c120e3dfc8dd032,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,5,s-cf425b36dfc6b2fb,functional
