arm,confidence,defect_id,design,false_positive_cluster,item_id,kind,material,packet,rater,repeat,set_id
M0,high,KR-04,stage_a,,i-2c03ac4d00cd9fd3,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
S2,high,RD-02,stage_a,,i-2c254137a5ba7a43,final,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6bb2afe99d266359
M1,high,NONE,stage_a,ui_service_layer_coupling,i-2ddd8ef9b4e39883,raw_union,False,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-729e6b3b472a7954
M1,high,NONE,stage_a,pre_insert_check_cost,i-3004be0cb6918dec,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-729e6b3b472a7954
M2,high,WH-04,stage_a,,i-3024aca0dfb70bf4,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-8e54f5f80931c3e8
S1,high,KR-07,stage_a,,i-3069292cdd88e046,final,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-e16188cc1a7701e3
M2,high,WH-05,stage_a,,i-30f52ecc87d6faf1,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-8e54f5f80931c3e8
M2,high,WH-05,stage_a,,i-3210f82d58c7f653,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-afa585069bf1de94
S1,high,WH-08,stage_a,,i-328aa09686903ee6,final,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-ff98dbfc48abd940
M2,high,RD-07,stage_a,,i-334f0270e25034bf,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M2,high,WH-08,stage_a,,i-341408d021711a7a,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-8e54f5f80931c3e8
M2,high,KR-06,stage_a,,i-368260cdb8f8ff95,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-eaaede1cd4582b63
M1,high,RD-05,stage_a,,i-39ed36d9a3465b36,fused,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-f0c51f1455e173d4
M1,high,WH-05,stage_a,,i-3ae563a5696e4561,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-729e6b3b472a7954
M2,high,WH-04,stage_a,,i-3b7d470933830866,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-afa585069bf1de94
M2,high,RD-02,stage_a,,i-3bce1ebc93320bdc,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M0,high,WH-07,stage_a,,i-3c70f73cecee41e7,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
M0,high,WH-03,stage_a,,i-3cdafd5cc5ff7c8b,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
M2,high,RD-05,stage_a,,i-3ce5a0587fab87f2,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M1,high,KR-02,stage_a,,i-3cfd1f8433b71759,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-d90863a96a16a9bb
M0,high,KR-02,stage_a,,i-3d2d582adc71ab1d,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
M0,high,RD-02,stage_a,,i-3d32c8c580a88489,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
S0,high,WH-05,stage_a,,i-3d98ea21b1867519,final,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-d83050ea7d4f2841
S0,high,WH-08,stage_a,,i-3e5b17d7859d396d,final,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-d83050ea7d4f2841
M1,high,WH-02,stage_a,,i-3e8458c6d7276da1,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-729e6b3b472a7954
M0,high,RD-04,stage_a,,i-3f6844240662553a,fused,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-5c68f29210f911f5
M2,high,WH-07,stage_a,,i-3fcb3cd292b11ee5,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-8e54f5f80931c3e8
S0,high,WH-02,stage_a,,i-40c94f626a07d482,final,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-d83050ea7d4f2841
M0,high,WH-05,stage_a,,i-40d0316891171e00,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
M2,high,WH-04,stage_a,,i-414ee3598fd8c57f,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-8e54f5f80931c3e8
M1,high,NONE,stage_a,incremental_materialization_preference,i-418e1aaa824b440a,raw_union,False,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-e44ee33b4ef4b691
M1,high,RD-02,stage_a,,i-4290b8d9889cedbf,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-e44ee33b4ef4b691
M0,high,RD-05,stage_a,,i-42a9565238f41e4e,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M2,high,WH-03,stage_a,,i-447fd126364bea9c,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-afa585069bf1de94
M0,high,WH-06,stage_a,,i-44dfd576f53b3596,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
M2,high,KR-02,stage_a,,i-454e31286d5f5abb,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6f1968681a3ce1bc
M1,high,RD-07,stage_a,,i-4551af449e26ef01,fused,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-f0c51f1455e173d4
M0,high,WH-04,stage_a,,i-45d59a37bfa9a3bb,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-788041f019fc2225
S1,high,KR-05,stage_a,,i-4817e5f17852855d,final,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-e16188cc1a7701e3
M0,high,RD-07,stage_a,,i-48201d016d8b2f48,fused,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-5c68f29210f911f5
M1,high,RD-05,stage_a,,i-4878a6668ab76b7a,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-e44ee33b4ef4b691
M2,high,RD-02,stage_a,,i-48a743e78d1d3357,fused,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-134169cbfa5261f0
M2,high,KR-06,stage_a,,i-48df9219b6845cf1,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-eaaede1cd4582b63
M2,high,RD-04,stage_a,,i-496dacb3a6a64b5f,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M2,high,RD-04,stage_a,,i-49e951a86060820c,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M2,high,WH-03,stage_a,,i-4a990ca7dbd6da5d,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-8e54f5f80931c3e8
M2,high,WH-05,stage_a,,i-4b8146faf046627c,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-8e54f5f80931c3e8
M2,high,RD-04,stage_a,,i-4c3b77163aca88d1,fused,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-134169cbfa5261f0
M1,high,RD-03,stage_a,,i-4c49b56fc36dc612,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-e44ee33b4ef4b691
M0,high,WH-02,stage_a,,i-4c5721315f6eed9f,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
S0,high,RD-03,stage_a,,i-4f58239783c21e5b,final,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-dc7948f22a064716
M1,high,WH-08,stage_a,,i-4fdb54a06c258892,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-b592675c6c064d99
M0,high,KR-04,stage_a,,i-4ffe7b65f6398acc,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-316a2dadea9718fc
M2,high,RD-03,stage_a,,i-50185e7a1b37364f,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M2,high,RD-04,stage_a,,i-50707623935e76fb,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M1,high,WH-03,stage_a,,i-5278e088a349f151,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-b592675c6c064d99
M0,high,WH-02,stage_a,,i-52972e422de78e85,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
M0,high,NONE,stage_a,pre_insert_select_count_query_cost_and_latency,i-531923a1673add44,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
S0,high,KR-05,stage_a,,i-5467af1ad1e48417,final,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-d4e1e74e7b0377e6
M2,high,KR-04,stage_a,,i-54fb1ed943788fd9,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-eaaede1cd4582b63
M1,high,KR-07,stage_a,,i-551d7a92c0e9c818,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-d90863a96a16a9bb
M2,high,WH-02,stage_a,,i-5646daa5d6e0461c,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-8e54f5f80931c3e8
M2,high,RD-02,stage_a,,i-568ea15762b48aa2,fused,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-134169cbfa5261f0
M0,high,KR-02,stage_a,,i-5713fa58b2514de5,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
M2,high,KR-06,stage_a,,i-57a48761d623cb8b,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6f1968681a3ce1bc
S2,high,KR-07,stage_a,,i-581efefcdf0b132e,final,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-d15290455c1d3e91
M0,high,RD-03,stage_a,,i-5832e5c4a53b426a,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M0,high,RD-04,stage_a,,i-58413817b6c9452b,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M0,high,KR-01,stage_a,,i-585e3956bdd08163,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
M1,high,WH-05,stage_a,,i-59dd3d05bb88aa76,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-729e6b3b472a7954
S0,high,KR-02,stage_a,,i-5ac8dca6561b1341,final,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-d4e1e74e7b0377e6
M2,high,KR-04,stage_a,,i-5b9044c90029c90c,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6f1968681a3ce1bc
M0,high,KR-05,stage_a,,i-5c78de19df71ba82,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
S2,high,WH-08,stage_a,,i-5dc706baee742ac5,final,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e7be12998863ac2e
S0,high,RD-02,stage_a,,i-5f25cb6548eff88b,final,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-dc7948f22a064716
M0,high,RD-07,stage_a,,i-606657488001e0e4,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M1,high,RD-01,stage_a,,i-61ae6e51b58f6880,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-e44ee33b4ef4b691
M0,high,RD-01,stage_a,,i-621f9cf5a17cd821,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M2,high,KR-02,stage_a,,i-63647702e992e868,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6f1968681a3ce1bc
M1,high,WH-04,stage_a,,i-6416128a64eabcb5,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-b592675c6c064d99
M0,high,KR-07,stage_a,,i-64259fbe1b4da289,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
M1,high,RD-08,stage_a,,i-644fbaea54555085,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-e44ee33b4ef4b691
M1,high,WH-07,stage_a,,i-645bee858dd028a6,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-729e6b3b472a7954
S2,high,WH-06,stage_a,,i-65013aedb4815136,final,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e7be12998863ac2e
M1,high,WH-07,stage_a,,i-650a2eb0134fc1aa,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-729e6b3b472a7954
M0,high,KR-01,stage_a,,i-660085928adaeca3,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-316a2dadea9718fc
M0,high,WH-05,stage_a,,i-665558e8fab3d053,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
S2,high,KR-06,stage_a,,i-665f4d5a1302ac26,final,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-d15290455c1d3e91
M0,high,RD-01,stage_a,,i-66688bf306c808fc,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M0,high,RD-05,stage_a,,i-66cb2d88c6d824b1,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M0,high,RD-03,stage_a,,i-66ec1f51d0aba9d5,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M2,high,RD-05,stage_a,,i-66f42dbe5e90072b,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M2,high,WH-02,stage_a,,i-67469b061f806a3e,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-8e54f5f80931c3e8
S2,high,RD-05,stage_a,,i-676c6955eb51b428,final,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6bb2afe99d266359
M0,high,KR-05,stage_a,,i-68be3ba4116a76fd,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
M1,high,NONE,stage_a,pre_insert_check_cost,i-6a45b51b18f89232,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-729e6b3b472a7954
M2,high,KR-04,stage_a,,i-6ae08b5bb0d913c1,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6f1968681a3ce1bc
M0,high,KR-06,stage_a,,i-6bd6f4ae386e9df8,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
M2,high,KR-05,stage_a,,i-6d15509bcc8531d1,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-eaaede1cd4582b63
M2,high,WH-07,stage_a,,i-6dd2976ff7bff8db,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-afa585069bf1de94
M0,high,KR-04,stage_a,,i-6e869f6023fbc76c,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
M0,high,KR-06,stage_a,,i-6e9420597edd4e84,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
M2,high,RD-04,stage_a,,i-6ff22339202953ac,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M0,high,WH-03,stage_a,,i-702885c1d971207d,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
M2,high,RD-03,stage_a,,i-708b844347bc1170,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M1,high,WH-08,stage_a,,i-71d40e4a1be833dc,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-729e6b3b472a7954
M0,high,WH-07,stage_a,,i-720e333e6b9518a2,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
M1,high,WH-05,stage_a,,i-7239f7d7f75b7c0d,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-729e6b3b472a7954
M0,high,WH-04,stage_a,,i-72687b59bdea8a3f,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
M2,high,RD-06,stage_a,,i-72e42b23e95bf77a,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M2,high,NONE,stage_a,missing_specific_commands_or_runbook_guidance,i-72fd66d4805ba3ab,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-eaaede1cd4582b63
M1,high,KR-01,stage_a,,i-74557793629960f2,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6bd3f61686e50d7b
M2,high,KR-04,stage_a,,i-74c035648f30cdd3,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6f1968681a3ce1bc
S2,high,WH-05,stage_a,,i-756c2791f2a788f9,final,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e7be12998863ac2e
M1,high,KR-05,stage_a,,i-766d963154da29f8,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-d90863a96a16a9bb
M1,high,RD-05,stage_a,,i-768f64d2f8488156,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-e44ee33b4ef4b691
